appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-02/bee-23,2026-05-02,23,aruco:210,aruco,210,assigned,1,1,aruco:210,decoder_confirmed,,aruco:210,assigned,aruco:210,confirmed,,in_domain,true
2026-05-02/bee-24,2026-05-02,24,aruco:247,aruco,247,assigned,1,1,aruco:247,decoder_confirmed,,aruco:247,assigned,aruco:247,confirmed,,in_domain,true
2026-05-02/bee-25,2026-05-02,25,aruco:144,aruco,144,assigned,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:144,confirmed,,in_domain,true
2026-05-02/bee-26,2026-05-02,26,aruco:225,aruco,225,assigned,1,1,aruco:225,decoder_conflict,decoder_competition_or_disagreement,aruco:225,assigned,aruco:225,confirmed,,in_domain,true
2026-05-02/bee-27,2026-05-02,27,aruco:211,aruco,211,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:211,confirmed,,in_domain,true
2026-05-02/bee-28,2026-05-02,28,aruco:4,aruco,4,assigned,1,1,aruco:4,decoder_conflict,decoder_competition_or_disagreement,aruco:4,assigned,aruco:4,confirmed,,in_domain,true
2026-05-02/bee-29,2026-05-02,29,aruco:227,aruco,227,assigned,1,1,aruco:227,decoder_conflict,decoder_competition_or_disagreement,aruco:227,assigned,aruco:227,confirmed,,in_domain,true
2026-05-02/bee-30,2026-05-02,30,aruco:37,aruco,37,assigned,1,1,aruco:37,decoder_conflict,decoder_competition_or_disagreement,aruco:37,assigned,aruco:37,confirmed,,in_domain,true
2026-05-02/bee-31,2026-05-02,31,aruco:252,aruco,252,assigned,1,1,aruco:252,decoder_conflict,decoder_competition_or_disagreement,aruco:252,assigned,aruco:252,confirmed,,in_domain,true
2026-05-02/bee-32,2026-05-02,32,aruco:253,aruco,253,assigned,1,1,aruco:253,decoder_conflict,decoder_competition_or_disagreement,aruco:253,assigned,aruco:253,confirmed,,in_domain,true
2026-05-02/bee-33,2026-05-02,33,aruco:139,aruco,139,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:139,confirmed,,in_domain,true
