assigned_tag,first_capture_date,recapture_date,recapture_number,days_since_first_capture
aruco:655,2026-06-16,2026-06-23,2,7
aruco:709,2026-06-16,2026-06-23,1,7
aruco:733,2026-06-16,2026-06-23,1,7
aruco:441,2026-06-10,2026-06-24,1,14
aruco:492,2026-06-22,2026-06-24,2,2
aruco:586,2026-06-22,2026-06-24,1,2
aruco:626,2026-06-22,2026-06-24,1,2
aruco:629,2026-06-22,2026-06-24,1,2
aruco:647,2026-06-17,2026-06-24,1,7
aruco:689,2026-06-17,2026-06-24,1,7
aruco:731,2026-06-23,2026-06-24,1,1
aruco:647,2026-06-17,2026-07-07,2,20
aruco:825,2026-07-06,2026-07-07,1,1
aruco:848,2026-06-24,2026-07-07,1,13
aruco:907,2026-07-06,2026-07-07,1,1
aruco:928,2026-07-06,2026-07-07,1,1
aruco:814,2026-07-07,2026-07-08,1,1
aruco:826,2026-07-07,2026-07-08,1,1
aruco:881,2026-07-06,2026-07-08,1,2
aruco:897,2026-07-07,2026-07-08,1,1
aruco:903,2026-07-07,2026-07-08,1,1
aruco:928,2026-07-06,2026-07-08,2,2
aruco:762,2026-07-08,2026-07-13,1,5
aruco:814,2026-07-07,2026-07-13,2,6
aruco:826,2026-07-07,2026-07-13,2,6
aruco:908,2026-07-07,2026-07-13,1,6
aruco:740,2026-07-13,2026-07-14,1,1
aruco:742,2026-07-08,2026-07-14,1,6
aruco:754,2026-07-08,2026-07-14,1,6
aruco:772,2026-07-13,2026-07-14,1,1
aruco:808,2026-07-07,2026-07-14,1,7
aruco:820,2026-07-08,2026-07-14,1,6
aruco:838,2026-07-13,2026-07-14,1,1
aruco:871,2026-07-08,2026-07-14,1,6
aruco:903,2026-07-07,2026-07-14,2,7
aruco:1013,2026-07-14,2026-07-15,1,1
aruco:1015,2026-07-14,2026-07-15,1,1
aruco:1039,2026-07-14,2026-07-15,1,1
aruco:1052,2026-07-14,2026-07-15,1,1
aruco:740,2026-07-13,2026-07-15,2,2
aruco:766,2026-07-13,2026-07-15,1,2
aruco:832,2026-07-13,2026-07-15,1,2
aruco:877,2026-07-07,2026-07-15,1,8
aruco:884,2026-07-07,2026-07-15,1,8
aruco:894,2026-07-13,2026-07-15,1,2
aruco:994,2026-07-14,2026-07-15,1,1
aruco:1015,2026-07-14,2026-07-21,2,7
aruco:1046,2026-07-14,2026-07-21,1,7
aruco:988,2026-07-14,2026-07-21,1,7
aruco:1036,2026-07-21,2026-07-22,1,1
aruco:1043,2026-07-14,2026-07-22,1,8
aruco:1069,2026-07-21,2026-07-22,1,1
aruco:940,2026-07-21,2026-07-22,1,1
aruco:948,2026-07-21,2026-07-22,1,1
aruco:962,2026-07-14,2026-07-22,1,8
aruco:988,2026-07-14,2026-07-22,2,8
aruco:995,2026-07-21,2026-07-22,1,1
aruco:1008,2026-07-22,2026-07-27,1,5
aruco:1018,2026-07-21,2026-07-27,1,6
aruco:1025,2026-07-22,2026-07-27,1,5
aruco:1040,2026-07-22,2026-07-27,1,5
aruco:939,2026-07-22,2026-07-27,1,5
aruco:958,2026-07-21,2026-07-27,1,6
aruco:966,2026-07-21,2026-07-27,1,6
aruco:992,2026-07-22,2026-07-27,1,5
aruco:995,2026-07-21,2026-07-27,2,6
aruco:954,2026-07-21,2026-07-28,1,7
aruco:957,2026-07-21,2026-07-28,1,7
aruco:958,2026-07-21,2026-07-28,2,7
aruco:983,2026-07-21,2026-07-28,1,7
