tag_id,bee_number,first_assignment_date,recaptured,recapture_1_date,recapture_2_date,recapture_3_date
aruco:256,7,2026-06-02,false,,,
aruco:257,11,2026-05-02,false,,,
aruco:258,2,2026-05-02,true,2026-06-11,,
aruco:259,18,2026-06-10,false,,,
aruco:260,14,2026-06-10,false,,,
aruco:261,12,2026-06-02,false,,,
aruco:263,13,2026-05-02,false,,,
aruco:264,10,2026-06-02,false,,,
aruco:268,106,2026-06-11,false,,,
aruco:269,108,2026-06-10,false,,,
aruco:270,57,2026-06-10,false,,,
aruco:271,87,2026-06-10,false,,,
aruco:272,99,2026-06-10,false,,,
aruco:273,18,2026-06-11,true,2026-06-16,2026-06-22,
aruco:274,113,2026-06-11,false,,,
aruco:275,91,2026-06-10,false,,,
aruco:276,107,2026-06-11,false,,,
aruco:277,35,2026-06-11,false,,,
aruco:278,83,2026-06-10,false,,,
aruco:279,45,2026-06-11,false,,,
aruco:280,61,2026-06-10,false,,,
aruco:281,117,2026-06-11,false,,,
aruco:282,113,2026-06-10,false,,,
aruco:283,56,2026-06-10,false,,,
aruco:284,38,2026-06-11,false,,,
aruco:285,85,2026-06-11,true,2026-06-16,,
aruco:287,110,2026-06-10,false,,,
aruco:288,69,2026-06-10,false,,,
aruco:289,97,2026-06-10,false,,,
aruco:290,67,2026-06-11,false,,,
aruco:291,42,2026-06-11,false,,,
aruco:292,107,2026-06-10,false,,,
aruco:293,57,2026-06-11,false,,,
aruco:294,48,2026-06-11,false,,,
aruco:295,62,2026-06-11,false,,,
aruco:296,85,2026-06-10,false,,,
aruco:297,104,2026-06-10,false,,,
aruco:298,7,2026-06-11,false,,,
aruco:299,90,2026-06-10,false,,,
aruco:300,96,2026-06-10,false,,,
aruco:301,50,2026-06-11,false,,,
aruco:302,89,2026-06-10,false,,,
aruco:303,58,2026-06-10,false,,,
aruco:304,25,2026-06-11,false,,,
aruco:305,70,2026-06-10,false,,,
aruco:306,4,2026-06-11,true,2026-06-16,,
aruco:307,72,2026-06-11,false,,,
aruco:308,116,2026-06-10,false,,,
aruco:309,58,2026-06-11,false,,,
aruco:310,98,2026-06-10,false,,,
aruco:311,76,2026-06-11,false,,,
aruco:313,54;55,2026-06-10,false,,,
aruco:314,81,2026-06-10,false,,,
aruco:315,101,2026-06-11,false,,,
aruco:316,71,2026-06-11,false,,,
aruco:317,79,2026-06-10,false,,,
aruco:319,54,2026-06-11,false,,,
aruco:320,59,2026-06-11,false,,,
aruco:321,74,2026-06-10,true,2026-06-11,2026-06-17,2026-06-22
aruco:322,23,2026-06-11,true,2026-06-16,,
aruco:323,102,2026-06-11,false,,,
aruco:324,90,2026-06-11,true,2026-06-16,,
aruco:325,112,2026-06-11,false,,,
aruco:326,51,2026-06-11,false,,,
aruco:327,72,2026-06-10,false,,,
aruco:328,109,2026-06-11,true,2026-06-16,,
aruco:329,74,2026-06-11,false,,,
aruco:330,66,2026-06-10,false,,,
aruco:331,92,2026-06-10,false,,,
aruco:332,2,2026-06-11,false,,,
aruco:333,75,2026-06-10,false,,,
aruco:334,17,2026-06-11,false,,,
aruco:336,106,2026-06-10,false,,,
aruco:337,33,2026-06-11,false,,,
aruco:338,55,2026-06-11,false,,,
aruco:339,13,2026-06-11,false,,,
aruco:340,64,2026-06-10,false,,,
aruco:341,39,2026-06-10,false,,,
aruco:342,61,2026-06-11,false,,,
aruco:343,84,2026-06-11,false,,,
aruco:344,47,2026-06-10,false,,,
aruco:345,70,2026-06-11,false,,,
aruco:346,86,2026-06-10,false,,,
aruco:347,22,2026-06-11,false,,,
aruco:348,9,2026-06-11,false,,,
aruco:349,112,2026-06-10,false,,,
aruco:350,68,2026-06-10,false,,,
aruco:351,97,2026-06-11,false,,,
aruco:352,11,2026-06-11,false,,,
aruco:354,114,2026-06-10,false,,,
aruco:355,6,2026-06-11,true,2026-06-17,,
aruco:356,5,2026-06-11,false,,,
aruco:357,104,2026-06-11,false,,,
aruco:358,93,2026-06-11,true,2026-06-16,,
aruco:359,59,2026-06-10,true,2026-06-11,,
aruco:360,109,2026-06-10,false,,,
aruco:361,30,2026-06-11,false,,,
aruco:362,44,2026-06-11,false,,,
aruco:363,76,2026-06-10,false,,,
aruco:364,42,2026-06-10,true,2026-06-11,,
aruco:365,41,2026-06-10,false,,,
aruco:366,75,2026-06-11,false,,,
aruco:369,111,2026-06-10,false,,,
aruco:370,34,2026-06-11,false,,,
aruco:371,77,2026-06-10,false,,,
aruco:372,32,2026-06-11,false,,,
aruco:373,50,2026-06-10,false,,,
aruco:374,101,2026-06-10,false,,,
aruco:375,111,2026-06-11,false,,,
aruco:376,87,2026-06-11,false,,,
aruco:377,94,2026-06-10,false,,,
aruco:378,47,2026-06-11,false,,,
aruco:379,117,2026-06-10,false,,,
aruco:380,105,2026-06-11,false,,,
aruco:381,56,2026-06-11,false,,,
aruco:382,37,2026-06-10,false,,,
aruco:383,52,2026-06-10,false,,,
aruco:384,12,2026-06-11,false,,,
aruco:385,108,2026-06-11,true,2026-06-16,,
aruco:386,100,2026-06-10,false,,,
aruco:387,41,2026-06-11,false,,,
aruco:388,64,2026-06-11,false,,,
aruco:389,53,2026-06-10,false,,,
